,Read Time(ms),Write Time(ms),NNF Time(ms),Axioms,Memory(MB)
feed.owlfs.owl,96.850232,13.536288,2.964382,1424,35.651584000000014
rex.owlfs.owl,193.336946,14.160387,2.059665,3609,31.682319999999997
obib.owlfs.owl,879.932293,49.875366,8.677460,16475,-262.24336800000003
gotop.owlfs.owl,3.229910,0.399771,0.021950,41,0.625864
ceph.owlfs.owl,111.042070,5.991584,1.180433,1874,13.930560000000003
NIAID-GSC-BRC.owlfs.owl,147.819442,9.686059,1.548579,2867,-360.619544
sigkdd.owlfs.owl,6.038296,0.628993,0.134569,193,3.0104959999999963
eco.owlfs.owl,1532.824400,102.347089,20.751758,25194,-185.51698399999998
speciesconservation.owlfs.owl,1.719028,0.402368,0.012216,13,0.0
ekaw.owlfs.owl,9.655230,1.001212,0.585276,341,6.293496000000005
Course.owlfs.owl,1.812308,0.226244,0.047829,44,0.8378399999999999
fao.owl.txtfs.owl,63.255491,3.279694,0.295963,913,8.726112
partof.owlfs.owl,1.580988,0.215396,0.008723,25,0.4002320000000026
constituency.owlfs.owl,1.791116,0.194818,0.007943,20,0.4002320000000026
classification.owlfs.owl,2.058385,0.267035,0.010827,31,0.8004000000000033
iao.owlfs.owl,172.945331,11.173888,1.445854,3339,-367.137912
MaterialTransformationPattern.owlfs.owl,3.908883,0.351800,0.037963,47,1.4952480000000037
ero.owlfs.owl,1417.134946,87.703543,13.113829,31147,-195.137824
ppo.owlfs.owl,388.932202,23.168643,4.386948,5399,-334.854848
d-acts.owlfs.owl,19.273473,1.148658,0.177926,347,8.390704
icdo.owlfs.owl,150.074155,9.726891,1.515819,3151,-368.155784
SimpleOrAggregated.owlfs.owl,2.932699,0.324169,0.068397,51,0.9212559999999996
RR_Pattern.owlfs.owl,4.955764,0.577205,0.244420,104,2.475976000000003
confOf.owlfs.owl,10.298947,0.982299,0.425958,335,6.2935279999999985
olobo_merged.owlfs.owl,709.138684,38.987030,5.000905,14809,-252.71917600000003
oce-merged.owlfs.owl,245.219039,16.065463,2.260422,5115,-327.029696
vesselspecies.owlfs.owl,2.150254,0.228003,0.009299,24,0.5861599999999996
fbcv.owlfs.owl,1830.768970,102.171965,12.660106,26024,-433.953312
social-reality.owlfs.owl,1.116573,0.377505,0.047855,17,0.0
xco.owlfs.owl,436.821045,22.595291,2.410413,6322,-320.868824
ms.owlfs.owl,1211.095915,63.531090,8.012604,20500,-221.802552
reportingevent.owlfs.owl,5.589726,0.516593,0.061661,90,2.0992240000000066
ehdaa2.owlfs.owl,1138.823340,65.985151,16.498298,24773,-253.65045599999996
bco.owlfs.owl,211.136376,12.824844,1.593274,4305,-358.06968800000004
fix.owlfs.owl,294.109334,18.679034,3.094355,7396,-345.28276800000003
miro.owlfs.owl,2095.189269,119.864915,17.218310,37900,-347.5034
dpo.owlfs.owl,1208.919931,53.081853,9.787715,15216,-220.251984
pato.owlfs.owl,1341.240753,69.709728,10.822891,24932,-319.19937600000003
resourceexploitationobservation.owlfs.owl,2.983916,0.439729,0.052815,68,1.3409039999999948
event.owlfs.owl,4.252319,0.330591,0.026619,55,1.6762319999999988
DigitalVideo_ODP.owlfs.owl,12.883984,0.939195,0.154511,292,6.712679999999999
planp.owlfs.owl,3193.109575,154.568045,31.514182,45338,-288.718712
osci.owlfs.owl,914.808136,46.768009,7.520312,15962,-320.152424
tgma.owlfs.owl,1697.489143,95.744296,9.606838,25124,-187.14136
conference.owlfs.owl,11.625911,1.305092,0.287758,409,6.922055999999998
ogg-bru.owlfs.owl,8749.856752,490.422681,68.004096,191574,-763.18636
region.owlfs.owl,2.001533,1.140854,0.017425,36,0.6281600000000012
speciesconditions.owlfs.owl,3.364736,0.337369,0.092968,82,1.6752959999999995
iceo_merged.owlfs.owl,3807.818480,213.103441,33.450327,84248,-475.89988
literalreification.owlfs.owl,3.186160,0.772294,0.033532,52,1.2531919999999985
ontology-metadata.owlfs.owl,25.339358,1.537919,0.163495,516,12.584944
tagging.owlfs.owl,5.411087,0.408378,0.044832,98,2.513064
componency.owlfs.owl,1.876322,0.219615,0.015539,33,0.8277999999999999
set.owlfs.owl,1.273238,0.184685,0.010113,18,0.4138719999999978
LINCS-CLOview.owlfs.owl,1328.122872,71.922494,13.148835,27197,-324.74809600000003
collectionentity.owlfs.owl,1.946866,0.387677,0.011724,28,0.6691679999999991
nomen.owlfs.owl,41.879590,2.815803,1.084293,1237,6.252103999999999
ktao-merged.owlfs.owl,4100.048878,211.593025,35.118579,78264,-373.93801599999995
wbbt.owlfs.owl,3074.841079,168.719782,30.913557,61027,-488.87368
ornaseq.owlfs.owl,60.550246,3.702810,0.386374,1226,27.265071999999996
invoice.owlfs.owl,3.952991,0.384550,0.031672,112,2.099192000000002
sibo.owlfs.owl,174.067970,9.336052,1.438187,3679,7.118472000000001
cmo.owlfs.owl,1812.575006,69.985111,8.334105,21504,-216.98248
template_instance_odp.owlfs.owl,0.378626,0.340088,0.006140,4,0.14178399999999414
omit.owlfs.owl,14771.762093,946.368877,205.334861,393298,-986.7582
ogg-pf.owlfs.owl,3832.386042,222.105699,29.376174,80531,-337.79600800000003
opl.owlfs.owl,309.392396,20.475561,3.635294,5653,-242.905976
gearspecies.owlfs.owl,1.872825,0.255080,0.030138,29,0.6668800000000061
duo.owlfs.owl,25.668329,1.787487,0.347964,781,15.932560000000002
opmi-merged.owlfs.owl,1662.404149,89.124419,14.205973,33849,-194.733256
cro.owlfs.owl,41.399759,2.803333,0.278739,750,18.288848
hydro3.owlfs.owl,8.554303,0.683596,0.071287,275,5.452415999999996
hPSCreg_CLO-merged.owlfs.owl,1675.542798,95.227948,23.931952,37093,-125.10596799999999
obcs_merged_inferred.owlfs.owl,418.305422,26.564373,4.229714,7966,-203.57924799999998
olatdv.owlfs.owl,31.327831,1.573071,0.156483,427,11.742640000000002
swo-inferred.owlfs.owl,765.371898,39.886069,9.146480,15109,-295.386664
ovae_merged.owlfs.owl,1361.697479,74.032052,12.895299,24051,-180.962752
BornDigitalArchives_ODP.owlfs.owl,2.058250,0.380946,0.019053,39,0.6272479999999945
pdumdv.owlfs.owl,16.810334,0.941457,0.084643,232,6.7117439999999995
envo.owlfs.owl,2196.486241,113.937969,25.868587,42012,-467.004752
chesspattern.owlfs.owl,8.536560,0.978880,0.143590,164,3.6076479999999975
stato.owlfs.owl,648.258191,30.633224,5.774847,11676,-355.46344
sequence.owlfs.owl,2.617337,0.353601,0.013980,44,1.0885919999999984
timeindexedpersonrole.owlfs.owl,1.116999,0.184174,0.015466,21,0.37687199999999876
aro.owlfs.owl,1939.572878,110.815737,17.809916,32639,-437.524816
AlgorithmImplementationExecution.owlfs.owl,13.767010,1.111355,0.081417,235,5.202112
omp.owlfs.owl,1237.234444,61.558328,7.959629,20564,-300.035824
hom.owlfs.owl,38.690343,2.167743,0.221497,565,16.189968
swo.owlfs.owl,12.760651,1.013819,0.251561,340,7.039591999999999
vio_merged.owlfs.owl,104.076605,5.482452,0.693046,1992,11.869647999999998
intensionextension.owlfs.owl,11.475447,0.355944,0.025478,57,2.0992239999999995
brucellosis_merged.owlfs.owl,1798.290028,109.049437,27.112100,33490,-130.12917599999997
PeriodicInterval.owlfs.owl,1.488966,0.451917,0.014869,23,0.5853120000000018
rs.owlfs.owl,1664.768072,110.307538,16.594078,39741,-159.231288
CTCAE-OAEview.owlfs.owl,2237.488969,128.463769,24.225592,46093,-285.658208
ncro-all-in-one.owlfs.owl,768.173935,52.056888,10.184806,17386,-129.70943999999997
vico_merged.owlfs.owl,499.754961,33.029890,5.110712,9985,-217.807656
topic.owlfs.owl,5.499267,0.470866,0.052193,102,2.099176
roletask.owlfs.owl,2.033684,0.242676,0.030156,38,0.8344720000000017
eventprocessing.owlfs.owl,9.971045,0.726391,0.131180,202,4.613512000000004
transition.owlfs.owl,6.730410,0.504263,0.058350,136,3.3505360000000017
dir.owlfs.owl,4.738040,0.437579,0.049344,89,2.0991760000000035
upheno.owlfs.owl,0.185101,0.112017,0.003798,0,0.0
aquaticresources.owlfs.owl,2.055228,0.235585,0.038515,38,0.8342560000000034
nbo.owlfs.owl,3800.422671,177.108107,29.134196,49744,-401.780112
ActivityPattern.owlfs.owl,3.922976,0.767211,0.080643,79,1.5528800000000018
spd.owlfs.owl,369.160175,22.984741,2.716323,6471,-317.957016
oarcs.owlfs.owl,154.077231,8.121044,1.030024,2947,10.676487999999999
catchrecord2.owlfs.owl,5.068916,0.456397,0.090292,117,2.4722880000000025
mop.owlfs.owl,1270.456019,65.133225,8.879931,22801,-299.75259200000005
mpath.owlfs.owl,393.607579,24.889334,2.688942,6476,-206.80741600000002
vesselwaterarea.owlfs.owl,1.669022,0.228227,0.007818,18,0.5838480000000033
exo.owlfs.owl,69.038739,6.435528,0.595328,1388,16.823648000000002
pco.owlfs.owl,101.775595,5.458537,0.686499,1877,12.908632
go-plus.owlfs.owl,55845.850238,2918.002962,872.976721,814807,-634.6562160000001
ecto.owlfs.owl,13942.587531,670.610045,83.159852,174002,-581.661696
wbphenotype.owlfs.owl,7672.235703,384.593113,73.004170,95123,-167.320096
ocmr-merged.owlfs.owl,3121.250146,171.122111,28.080150,63626,-401.782976
mmo.owlfs.owl,495.250658,19.124923,1.664709,6164,17.008055999999996
trans.owlfs.owl,14.451887,0.817226,0.058684,190,5.8347359999999995
sdgio.owlfs.owl,402.897199,27.198640,4.944558,8100,-202.806136
sepio.owlfs.owl,109.231255,5.086981,0.598244,1829,14.538359999999997
naryparticipation.owlfs.owl,1.252105,0.209332,0.027610,24,0.40536800000000284
upa.owlfs.owl,4137.204443,234.942814,75.823827,49966,-139.37362399999998
